"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"시작 주소 신호, 始作住所信號, initial address message",,"공통선 신호 방식으로 전송되는 선택 신호. 기능적으로는 기동 신호를 겸하고 있다. 주소 신호에는 선택 숫자, 신호의 경로 선택 정보, 제어 대칭 회선 번호 등이 포함되어 있다. 선택 숫자를 모두 일괄하여 송출하는 경우, 또는 겹치기(overlap) 전송할 때 최초로 송출되는 선택 신호를 주소 신호라 하며 겹치기 전송할 때 후속하여 송출되는 선택 신호를 후속 주소 신호라 한다."
"시저링, scissoring",,"컴퓨터 그래픽스(CG)에서 표시 영역의 미리 정해진 부분 바깥쪽의 표시 화상 구성 부분을 제거하는 조작. 보통 지정 영역(예를 들면 윈도) 외에 선분이 있는 경우, 빔의 휘도를 떨어뜨려 그 선분을 지워 버리는 방법이 쓰인다. 오려냄(clipping)과 같은 의미이고 차폐(shielding)와 대칭된다."
"시점, 視點, viewpoint",,컴퓨터 그래픽스(CG)에서 2차원의 가상 공간(virtual space)을 화면 공간(screen space)으로 사상(mapping)할 때에 각도와 척도(scale)의 기준이 되는 원점(origin).
"시정, 視程, visibility",,"어느 방향의 하늘을 배경으로 한 거무스름한 뚜렷한 목표(예를 들면, 언덕, 집, 나무 등)를 확인할 수 있는 최대 거리. 여기서 확인한다는 것은 목표의 모양까지 식별되는 것을 말한다."
"시제품, 試製品, prototype",,"①새로운 컴퓨터 시스템이나 소프트웨어의 설계 또는 성능, 구현 가능성, 운용 가능성을 평가하거나 요구 사항을 좀 더 잘 이해하고 결정하기 위하여 전체적인 기능을 간략한 형태로 구현한 초기 모델. ②하드웨어 또는 소프트웨어 시스템 개발의 어느 단계에서, 다음 단계 또는 최종적인 실용 시스템에서 사용될 모델로서 기능하는 시스템의 잠정판."
"시제품화, 試製品化, prototyping",,"새로운 컴퓨터 시스템이나 소프트웨어 개발 기법의 하나. 개발의 초기 단계에 전체적인 기능을 간략한 형태로 구현한 잠정판 또는 시제품(prototype)을 만들어 사용자에게 제공한다. 사용자의 시험 사용을 통해서 요구 사항을 분석하거나 요구 사항의 정당성을 검증하여 시제품의 성능을 평가하여 다음 단계 또는 실용 시스템에 반영(feedback)한다. 시제품화는 시제품, 시험 사용, 개선 과정을 반복하여 실용판의 사양을 완성해 나가는 기법으로, 전통적인 생명 주기 모델 또는 폭포수 모형(waterfall model)의 단점을 보완하기 위해 점진적으로 시스템을 개발하는 접근 방법이다. 시제품의 시험 사용을 통해서 이전에 밝혀지지 않았던 사용자의 요구 사항을 구체적으로 규명할 수 있다는 장점이 있으며, 특히 초기에 요구 사항이 확실하지 않거나 경영 환경의 급속한 변화 등으로 사전에 모든 요구 사항을 결정할 수 없는 불확실한 상황에서 소프트웨어의 개발 작업을 유연하게 제어, 관리할 수 있게 해준다."
"시종 부호 대조, 始終符號對照, AB check",,"전송 도중에 전문이 변화하거나 오동작에 의한 전보의 분실을 방지하기 위하여 교환국에서 전보 1통마다 붙이는 시작 부호와 종격 부호의 유무, 즉 양 부호의 교호성(交互性)을 검사하는 것."
"시준기, 視準器, collimator",,"아주 정밀한 대물렌즈로 평행 광선을 만드는 장치. 광원의 광을 렌즈의 축에 평행하게 시준하고 광섬유를 통과한 출력 광을 시준화하는 장치이다. 봉 렌즈형이 광섬유와 렌즈 사이에 공기층 간극이 없는 접합 구조로 만들기에 쉽고, 조립과 운용 유지 면에서 편리하다."
"시차적 오차, 視差的誤差, parallax reading error",,"지침(指針)이 눈금판으로부터 떨어져 있는 경우, 눈의 위치에서 눈금을 읽을 때 착오가 생기는 것. 시차적 오차를 적게 하기 위해서는 눈금판에 거울을 부착하여 그것에 지침의 상을 투상시킨 다음 지침과 상을 일치시켜 읽어야 한다. 0.5급 이상의 지시 계기에는 거울이 붙어 있는 것이 보통이다. 광시식(光示式) 계기에는 시차적 오차가 없다."
"시청각, 視聽覺, Audio Visual, AV",,"시각과 청각을 위주로 하는 오디오/비디오 신호 정보, 또는 음향기기나 영상기기 등 전달 매체. 오디오나 비디오, 홈 시어터(Home Theater) 시스템처럼 일정 수준 이상의 가전 음향 기기를 통칭하는 의미로도 사용된다."
"시청 규제, 視聽規制, parental control",,"자녀가 유해한 콘텐츠에 접근하지 못하도록 부모가 규제할 수 있는 디지털 기기의 기능.  디지털 TV나 비디오 게임기, 컴퓨터, 또는 컴퓨터 소프트웨어에 장착된 부가 기능으로, 시청하려는 방송이나 채널을 제한하고, 이용 시간을 설정하며, 열람할 수 있는 웹 사이트를 제한함으로써 자녀들의 유해한 서비스 이용을 제한/감시하거나 이용에 관한 리포트를 검토할 수 있게 한다."
"시청률, 視聽率, TV rating",,"특정 시간 동안 TV를 시청하는 집이나 사람을 백분율(%)로 표시한 것. 방송사에서 프로그램을 평가하고 편성하는 기초 자료로 사용하고, 광고사는 광고 효과를 평가하여 광고 전략을 세우는 데 활용한다. 정책 당국도 매체간 경쟁 상황을 파악하여 진흥과 규제 정책을 세우는 근거로 활용한다."
"시청자 의견 청취 제도, 視聽者意見聽取制度, Ombudsman System",,"행정 감찰 전문인 제도. 옴부즈맨 제도는 1809년 스웨덴에서 창안된 제도로 원래 국민을 대신해 정부나 기업, 사회단체 같은 공공조직의 활동을 감시하고 견제하는 행정 감찰 제도였다. 그 뒤 이 제도는 행정 조직뿐만 아니라 언론, 기업, 상거래 같은 사회, 정치, 경제 각 분야에 도입되면서 시청자 또는 소비자의 불만을 받아들여 이를 고치는 제도로 발전되었다. 언론에서는 책임있는 언론을 실현하기 위한 대표적인 자율 규제 제도로 옴부즈맨 제도를 도입하고 있다."
"시청 행태 조사, 視聽行態調査, Viewer Behavior Monitoring, VBM",,셋톱 박스를 통해 실시간으로 시청 채널 및 시청 시간과 관련한 데이터를 확인할 수 있는 시스템. 디지털 환경에 맞는 새로운 시청률 측정 방식으로 기존의 피플미터(people meter)에 비해 전수 조사가 가능하고 운용 비용과 시간을 줄일 수 있는 것이 장점이다. SO들은 시청 행태 조사(VBM)가 전달해 주는 데이터를 통해 채널 편성 및 방송 채널 사용 사업자(PP)와의 시청 수수료와 광고비 산정 등 마케팅에 활용할 수 있다.
"시퀀스 소프트웨어, sequence software",,미디(MIDI) 등의 음원을 PC로 제어해서 연주하기 위한 소프트웨어. 연주 상태를 그대로 직접 데이터로 변환하는 실시간 입력과 각각의 음을 한 개씩 입력하는 스텝 입력이 있다.
"시큐리티 도메인, Security Domain, SD",,"범용 가입자 식별 모듈(USIM)에 구현한 보안 기술. 이동 통신 사업자는 USIM 카드의 메모리 관리와 가입자 인증 모듈만을 관리하고, 고도의 보안을 요구하는 금융 애플리케이션은 시큐리티 카드(SD)에 저장해 금융과 통신 사업자 간의 통합 서비스가 가능하도록 구현한 것이다. 금융 기관은 독자적으로 SD에 탑재되는 애플리케이션의 데이터를 직접 암호화시켜 USIM에 기록한다. 이때 금융 기관 독자의 암호화 키를 사용해 정보를 기록하기 때문에 이동 통신 사업자 측에서 계좌 번호나 비밀 번호 등 이용자와 금융 기관 간의 거래를 중간에서 취득하거나 해독하는 것은 불가능하다."
"시큐어 셸, Secure Shell, SSH",,"①보안 등급이 낮은 네트워크상에서 보안 등급이 높은 원격 접속 개시나 데이터 전송을 실현하는 프로토콜. 시큐어 셸(SSH) 프로토콜에는 전송 계층 프로토콜, 사용자 인증 프로토콜, 연결 프로토콜 등 3종류가 있다. 전송 계층 프로토콜은 TCP/IP의 상위에서 사용하는 것으로, 암호화 데이터 전송이나 서버 인증 기능이 있다. 여러 종류의 암호 기술을 사용할 수 있고, 암호 키의 교환이나 이용하는 암호 기술의 교섭 방법이 정해져 있다. 사용자 인증 프로토콜은 SSH 전송 계층 프로토콜의 상위에서 동작한다. ② 암호 통신을 이용해서 다른 컴퓨터에 접속한 다음 명령을 실행하거나 파일 조작을 행하기 위한 프로토콜. 예를 들면 미국 GTE Telenet 사가 운영하는 부가 가치 통신망(VAN: Value Added Network)인 텔레넷(Telenet)이나 원격 셸 프로토콜(RSP)을 이용해서 원격지의 서버에 접속하면, 그 구간의 통신은 계정 및 패스워드를 주고받는 것은 암호화되지 않으므로 악의를 가진 사용자에게 통신 내용을 도청당할 가능성이 있다. 이를 방지하기 위해서 암호화하는 것이다."
"시큐어 코딩, secure coding",동의어 : 소프트웨어 개발 보안,"개발하는 소프트웨어가 복잡해짐으로 인해 보안상 취약점이 발생할 수 있는 부분을 보완하여 프로그래밍하는 것. 시큐어 코딩에는 안전한 소프트웨어를 개발하기 위해 지켜야 할 코딩 규칙과 소스 코드 취약 목록이 포함된다. 미국은 2002년 연방정보보안관리법(FISMA)을 제정해 시큐어 코딩을 의무화했고, 마이크로소프트는 윈도 비스타(Windows Vista)를 개발할 때 시큐어 코딩을 도입했다. 우리나라에서는 2012년 12월부터 '소프트웨어 개발 보안' 제도를 시행하여 시큐어 코딩을 의무화하였다."
"시큐어패스, SecurePass",,"키보드 입력을 통한 패스워드 유출을 막기 위해 그래픽과 마우스 따위로 패스워드를 입력하는 방식. 기존 패스워드를 키보드로 입력하는 방식은 악성 코드 따위를 통해 키보드로 입력된 모든 정보들을 기록해 탈취하는 키 로깅(Key logging) 공격과 패스워드 입력 때 키보드 옆에서 이를 지켜보거나 몰래 카메라 따위로 녹화해 패스워드를 알아내는 어깨너머 보기(Shoulder surfing, 숄더서핑) 공격에 취약하다. 이같은 취약점을 보완한 시큐어패스는 매번 무작위로 바뀌는 패스워드 입력판과 숨겨진 마우스를 움직여 패스워드를 입력함으로써 키 로깅이나 어깨너머 보기 공격에 안전하다.&nbsp;한국인터넷진흥원(KISA)에서 개발하였다."
"시큐얼, Structured English Query Language, SEQUEL",,구조화 영어 조회 언어. 1974년 IBM의 한 연구 프로젝트의 결과로 개발된 관계 데이터베이스(RDB)의 조회용 언어이다. 이것을 바탕으로 국제 표준화 기구(ISO)가 규제 표준으로 채택한 것이 구조화 조회 언어(SQL)이다.
"시트 저항, -抵抗, Sheet Resistance",,매우 얇은 막의 저항. 집적회로(IC) 등을 설계 할 때 실리콘 박막 및 투명 전극 등의 도전성을 말할 때 사용한다.
"시트 피드 스캐너, sheet feed scanner",,"복사 용지와 같은 한 장의 표지를 기계적으로 보내면서 읽는 형식의 스캐너. 일반적으로 광 문자 인식(OCR) 소프트웨어가 설치되어 있어 명함이나 서류 또는 인쇄물 등을 주사하여 문자 데이터로 변환할 목적으로 사용하는 것이 많다. 용지를 보내는 기구를 비치하고 있으므로 평면 헤드 형식과 같이 넓은 면적이 필요없으며 브라운관(CRT) 디스플레이 아래 둘 수 있어 간편하다. 반면, 해상도가 낮은 것이 단점인데 최근에는 해상도 300dpi(dot per inch)와 평면 헤드를 비치하고 컬러 화상도 읽을 수 있는 제품이 출하되고 있다. 한 장씩 용지를 보내는 시간을 생략한 자동 기능을 구비한 기종도 있다."
"시티루프, Cityruf",,"독일의 국영 통신 사업체인 Deutsche Bundespost Telekom이 운영하는 무선 호출망 서비스. 시티루프 가입자는 독일은 물론 영국, 프랑스 및 이탈리아에서도 별도의 가입 없이 단일 단말기로 무선 호출 서비스를 받을 수 있다. 시티루프는 주파수 466MHz를 사용하여 폭삭 신호 방식(CCIR Radio Paging Code No.1)으로 영문·숫자 메시지를 전송한다. →유로페이지."
"시티폰 서비스, cityphone service",,우리나라에서 한국 통신(KT)이 2000년 1월까지 제공한 CT-2 서비스의 명칭. →CT-2 서비스.
"시프트, shift",동의어 : 밀기,"①프로그래밍, 특히 어셈블리 언어나 기계어의 프로그래밍에서 레지스터 또는 기억 장소 내에서 비트값들을 왼쪽이나 오른쪽으로 한 자리 이동하는 것. 자리 이동 연산에서는 자리 이동 방향에 따라 레지스터나 기억 장소의 끝에서 1비트가 떨어져 나가고(삭제되고), 그 반대 끝의 비어 있는 비트 자리에 영(0)이 추가된다. 예를 들면, 오른쪽 자리 이동 연산(shift right operation)에서는 가장 오른쪽 비트가 오른쪽 끝에서 떨어져 나가고, 다른 모든 비트는 오른쪽으로 한 자리 이동하며 가장 왼쪽의 빈자리에 영이 추가된다. 가령 2진값 ‘00010110’을 오른쪽 자리 이동 연산하면 ‘00001011’이 된다. →산술 자리 옮김. 순환 자리 옮김. ②☞시프트 문자."
"시프트 레지스터, shift register",,매 클록 주기로 모든 비트를 한 자리 자리 옮기게 하는 레지스터(전자 회로). 레지스터가 선형(linear)인 경우에는 한 비트가 한쪽 끝에서 삽입되고 반대쪽 끝에서 한 비트가 떨어져 나간다. 레지스터가 순환형인 경우에는 한쪽 끝에서 떨어져 나간 비트가 시작에서 다시 삽입된다. 시프트 레지스터는 병렬 데이터를 직렬로 변환하는 데 유용하다.
"시프트 로컬 방식, -方式, shift local system",,"헤테로다인 방식에 의한 중계국의 경우, 제1국부 발진기 주파수의 변동이 송신 주파수의 변동으로 나타나지 않도록 한 것. 현재 방송용 중계 방송기 등에 채용되고 있다. 회로 구성은 그림과 같으며 현재 수신 주파수는 fR, 송신 주파수는 fS, 제1국부 발진 주파수를 fL, 국부 혼합 출력 주파수를 fLS, Δf를 수신 주파수 fR와 송신 주파수 fS와의 차이 주파수로 하면, fS는 그림의 식과 같이 되어 송신 주파수에는 제1국부 발진 주파수의 변동이 나타나지 않으며, 제2국부 발진 주파수 변동 외에는 나타나지 않는다."
"시프트 마이크로 연산, -演算, shift micro-operation",,"직렬 컴퓨터에서 레지스터 간 2진 정보를 전송하기 위해 사용되거나 산술, 논리 등의 데이터 처리 동작을 위해 병렬 컴퓨터에서 사용되는 마이크로 연산. 이때의 자리 옮김 종류에는 직렬 전송 시프트, 논리 시프트, 순환 시프트, 산술 시프트 등 4가지가 있다."
"시프트 명령, -命令, shift instruction",,"레지스터 내의 데이터를 왼쪽 또는 오른쪽으로 한 자리 이동시키는 특수 명령. 산술적 자리 이동 연산자는 이동 방향에 따라 밑수를 곱하거나 나누는 것과 같은 효과를 낼 수 있다. 예를 들면, 2진수로 나타낸 수의 경우 오른쪽으로 한 자리 옮기는 것은 2로 나누는 것과 같고, 왼쪽으로 한 자리 옮기는 것은 2를 곱하는 것과 동일하다."
"시프트 문자, -文字, shift character",,"아스키 등 부호 체계에서, 도형 문자를 지정하기 위하여 사용되는 제어 문자. 아스키 문자 집합에는 2개의 시프트 문자, 즉 시프트 인 문자(shift-in character)와 시프트 아웃 문자(shift-out character)가 포함되어 있다. 시프트 인 문자는 15번째 문자(16진수는 OF)로 시프트 뒤에 계속되는 문자 집합이 확장 또는 대체 문자 집합이라는 것을 나타내는 데 사용된다."
"시프트 아웃, Shift-Out, SO",,"시프트 인(shift-in)과 더불어 어떤 부호 체계에서 사용될 수 있는 문자의 종류를 확장하기 위하여 사용되는 제어 문자. 시프트 뒤에 계속되는 문자 집합이 대체 문자 집합 또는 비표준 문자 집합이라는 것을 나타내기 위하여 사용된다. 즉, 시프트 아웃은 부호의 기능을 확장하기 위하여 부호의 의미를 변환시키는 기능을 수행한다. 예를 들면, 로마자 집합을 시프트 인으로 하고 한글을 시프트 아웃으로 정하면, 시프트 아웃에 이어지는 부호는 한글이 되고 시프트 인에 이어지는 부호는 로마자가 된다."
"시프트 인, Shift-In, SI",,"시프트 아웃(shift-out)과 더불어 어떤 부호 체계에서 사용될 수 있는 문자의 종류를 확장하기 위하여 사용되는 제어 문자. 시프트 뒤에 계속되는 문자 집합이 표준 문자 집합이라는 것을 나타내기 위하여 사용된다. 즉, 시프트 아웃에 의하여 변환된 부호의 의미를 원래의 상태로 복귀시킨다. 예를 들면, 로마자 집합을 시프트 인으로 하고 한글을 시프트 아웃으로 정하면, 시프트 인에 이어지는 부호는 로마자가 되고 시프트 아웃에 이어지는 부호는 한글이 된다."
"시프트 키, shift key",동의어 : 윗쇠,"컴퓨터 키보드에서 어떤 키의 의미를 변환하기 위해 사용되는 키. ‘Shift’라고 표시되어 있다. 예를 들면, 시프트 키를 누른 상태에서 영문자 키를 누르면 대문자(uppercase character)가 생성되고 맨 윗줄에 있는 숫자 키를 누르면 숫자 대신 상단의 기호가 생성되며, 한글 자판에서 숫자 키 바로 아래 열의 키를 누르면 해당 키 상단의 글자나 문장 부호가 생성된다. 시프트 키는 비표준 문자를 생성하거나 특수 기능을 수행하기 위한 여러 가지 키 조합에도 사용된다. 매킨토시 키보드에서는 옵션 키(option key)와 시프트 키를 누르고 하이픈 키를 누르면 대부분의 자형(font)에서 엠 대시(em dash)를 생성한다. 그리고 IBM PC 및 호환기의 키보드에서는 시프트 키를 누르고 하나의 기능 키를 누르면 그 기능 키를 단독으로 눌렀을 때와는 다른 명령을 지정한다."
"시피아르피, Cost Per Rating Point, CPRP",,"광고를 보기 원하는 표적 소비자 1%에 도달하는데 드는 비용. 같은 비용으로 얼마나 효율적으로 광고를 했는가를 보여주는 지표로 산출식은 광고비/시청률이다. 어떤 프로그램의 시청률이 20%이고 투입된 광고비가 1,000,000원이라면 CPRP는 50,000원이다."
"시피아이(CPI), Cost Per Impression",,광고가 1회 노출될 때를 기준으로 광고비를 책정하는 방식. CPM(Cost Per Mille)과 같이 인터넷 마케팅에서 광고비 산정 방식을 일컫는 용어로 광고가 노출될 때를 기준으로 광고비를 책정하는 방식이다. 일반 배너 광고에서는 거의 이 방식이 채택되고 있으며 키워드 광고에서도 사용되고 있다.
"시피티엔, Content, Platform, Terminal, Network, CPTN",,"미디어 서비스를 구성하는 4대 핵심 요소인 콘텐츠, 플랫폼, 단말, 네트워크를 이르는 말. 스마트 미디어가 나오면서 서비스 제공을 위해서는 CPTN을 모두 제공해야 하기 때문에 관련 방송사, 통신사, 제조사, 플랫폼 사업자들은 독자적인 사업 추진보다는 관련 기업들과 유기적인 협력과 제휴를 통하여 서비스하고 있다."
"시한 회로, 時限回路, timing circuit",,어떤 시간 간격을 잡아 상태를 판단하거나 다음 동작에 들어가는 경우에 필요한 시간 간격을 만들어 내는 회로.
"시험, 試驗, test",,"시스템이나 시스템 구성 요소(component) 또는 소프트웨어 프로그램을 실행하고 평가하는 과정. IEEE 정의에 따르면 수작업 또는 자동화된 방법으로 규정된 요구 사항을 만족시키고 있는지 검증하고, 기대되는 결과와 실제 결과의 차이를 식별하는 작업을 말한다. G.J. Myers의 정의에 따르면 테스트라고 표기하기도 하며 일반적으로 결함이 없음을 증명하는 것이 아니라 결함이 있음을 발견하기 위하여 체계적으로 수행하는 일련의 작업을 말한다."
"시험 관리 프로토콜, 試驗管理-, Test Management Protocol, TMP",,적합성 시험 시스템의 구성에서 하위 시험기(LT)와 상위 시험기(UT) 사이에 조화로운 시험 실행을 위하여 정의되는 프로토콜.
"시험 관리 프로토콜 데이터 단위, 試驗管理-單位, Test Management Protocol Data Unit, TMPDU",,시험 관리 프로토콜에서 정의되는 프로토콜 단위.
"시험 기법, 試驗技法, testing tool",,정보 시스템 개발의 실험 공정을 지원하는 기법. 프로그램을 동작시키지 않고 실험을 지원하는 정적 해석 기법과 실험 데이터를 작성하여 프로그램을 실제로 동작시켜 그 결과의 검증을 지원하는 동적 해석 기법이 있다.
"시험대, 試驗臺, Test Board, Test Desk, TB",,국내 교환기와 선로(단말기 포함) 등의 정상 기능 여부를 시험하는 장치. 계측기류와 단락 시험용 키 등이 내장되어 있다.
"시험 대상, 試驗對象, Implementation Under Test, IUT",,"적합성 시험에서 시험 판정을 받을 대상의 통칭으로, 적합성 시험에 대한 국제 표준(ISO 9646)에서 규정하고 있는 용어."
"시험 대상 기기, 試驗對象機器, Equipment Under Test, EUT",,"장비를 개발하는 경우 실제 사용에 앞서 여러 가지 종류의 시험을 받을 때 시험을 받을 대상 기기를 말함. 시험의 종류로는 다른 장비의 인터페이스 및 연동 시험, 기능 시험, 성능 시험이 있다. 시험 대상이 소자인 경우에는 피시험 장치(DUT : Device Under Test)라고 한다."
"시험 대상 시스템, 試驗對象-, System Under Test, SUT",,적합성 시험의 대상이 되는 일반적인 통신 제품이나 프로파일.
"시험 데이터 방법, 試驗-方法, test data method",,"①컴퓨터를 이용한 검사의 한 방법으로, 검사인이 작성한 시험 데이터를 실제 사용하고 있는 프로그램에 넣어 만들어진 결과와 미리 시험 데이터로 작성한 결과를 비교, 검토하는 방법. ②완성된 프로그램이 프로그램 명세서의 지시대로 작성되어 있는지를 검사하는 방법. 프로그램에 실제로 데이터를 넣어서 처리해 보고, 지시한 대로 결과가 얻어졌는가를 점검하는 방법이 있는데, 이때 사용하는 데이터를 시험 데이터라고 한다. 시험 데이터의 작성은 프로그래머가 하는 경우도 있으나, 시험에서 일어날 수 있는 모든 케이스를 완전히 충족시켜야 하기 때문에 시스템 설계자가 하는 것이 일반적이다."
"시험 부호 발생기, 試驗符號發生器, Test Code Sender, TCSD",,전신 가입자의 가정 내에 설치된 장치에 접속되어 그 기능을 시험하기 위하여 각종 시험 부호 발생 회로를 갖춘 장치.
"시험 사례 설계, 試驗事例設計, test case design",,"시험 계획 작성 시 작업 과정의 하나로, 시스템 등에 대한 효율적, 비효율적인 검증을 하기 위한 행위. 각종 규격서를 충분히 분석해서 시험 유형이나 입력 데이터의 확정, 기대 효과 등을 사전에 도출한다. 또한 외부 규격에 의거하여 블랙 박스 시험이나 프로그램 내부 구조에 착안한 화이트 박스 시험 등에 의해서 검증한다."
"시험 생명 주기, 試驗生命週期, test life cycle",,"시스템이나 시스템 구성 요소(component) 또는 소프트웨어 프로그램의 시험을 위한 계획을 세우고 설계 구현하여 이를 실행하고 최종적으로 시험 실행 결과를 평가하고 제어(control)하는 일련의 과정. 일반적으로 소프트웨어 생명 주기(software life cycle)와 병행하여 수행되며, 시스템 개발의 착수 및 요구 분석 단계에서 시험 계획 수립이 이루어지고, 시스템 개발의 설계 단계에서 시험 설계가 이루어지는 것이 바람직하다. 시스템 구현 단계에서 시험 계획과 설계에 따라 시험을 수행하고 시험 진행 상황을 관리한다. 시험 설계가 늦어질 경우 시스템에 대한 시험 일정이 늦어지거나 시험이 부실하게 진행될 수 있으므로 시스템 개발 전반부에서 시험이 계획되고 충분한 시험 설계 과정을 거치는 것은 매우 중요하다."
"시험 소프트웨어, 試驗-, test software",,시험 동작과 자동 시험 장치의 절차를 제어하는 유지 명령들. 시험하려는 유닛을 시험하는 데 사용되는 유일한 자극과 측정 파라미터들을 제어하는 데 사용된다.
"시험용 다이얼, 試驗用-, test dial",,자동 교환기의 시험에 사용하기 위하여 속도와 단속 비율을 표준으로 또는 일정한 한계값으로 조정한 다이얼.
"시험용 송수화기, 試驗用送受話器, hand-set for test, test handset",,"교환기, 선로 시설 등의 고장 탐색 또는 접속 확인 시험을 할 때 사용하는 송수화기. 보안모 착용 시에도 사용할 수 있는 목에 거는 식의 선로 시험용 송수화기도 있다. 이것은 수화기에 이어폰을 사용한 것으로서 시험 접속에 쓰이는 악어 입 모양의 클립이 딸려 있다."
"시험용 스프링, 試驗用-, test spring",,전신 및 전화선을 시험하기 위하여 전신 및 전화국 등에서 외선을 국내(局內) 장치로 끌어들이는 곳에 설치한 접촉 스프링으로 된 시험 장치.
"시험 용이성, 試驗容易性, testability",,①소프트웨어에서 시험 기준을 정하고 그 기준에 따라 평가하는 것을 쉽게 해 주는 정도. ②시험 기준을 정하기 위해 요구의 정의에 대한 분석을 쉽게 해 주는 정도.
"시험용 콘솔, 試驗用-, test console",,교환기 내의 트렁크 회로에 대한 인위적인 시험 센터. 입중계 및 출중계 회로에 대한 완전하고 광범위한 기능을 점검할 수 있다.
"시험용 테이프, 試驗用-, test tape",,녹음기와 녹화기의 조종과 시험을 위해 필요한 시험 신호를 미리 기록해 둔 자기 테이프.
"시험용 트렁크, 試驗用-, test trunk",,"집중 시험 프레임 또는 선로 시험 프레임 등에서 각종 장치를 시험할 때 사용하는 트렁크. 회선 시험 트렁크, 시험 입중계 트렁크, 시험 출중계 트렁크 등이 있다."
"시험 자료, 試驗資料, test data",,시스템이나 시스템 구성 성분들을 시험하기 위하여 개발된 자료.
"시험 전파, 試驗電波, test wave",,"송신 장치, 공중선계 등의 기능과 동작 특성을 시험하는 것을 목적으로 발사하는 전파."
"시험 접속, 試驗接續, test jointing",,"케이블 또는 나선로에서 회선 상호 간의 누화를 줄이기 위해 심선 상호 간의 1차 정수(R, L, C, G)에 기인하는 불평형치를 측정하고 이것을 최소로 하도록 심선 결합을 고려해서 교차, 접속하는 일련의 작업. 교차 형식에는 8종류가 있다."
"시험 접속, 試驗接續, test connection",,시험 목적을 위한 접속. 이러한 호출을 시험 호출이라고 한다.
"시험조 파라미터, 試驗組-, Test Suite Parameter, TSP",,적합성 시험에 사용되는 시험조에 공통적으로 사용되는 각종 파라미터.
"시험 중 회복, 試驗中回復, test come clear",,전기 통신 기기나 회선이 고장 났을 때 그 원인을 발견하기 전에 장애가 제거되어 평상 상태로 복귀되는 것.
"시험 케이스, 試驗-, test case",,"시험을 수행하기 위해 기본이 되는, 문서화된 항목. 시험할 구체적인 내용을 문서화한 것으로 직접 시험을 수행하는 근간이 되고, 시험을 수행했다는 증거가 되며, 시험이 커버하는 범위를 표현하기도 한다. 실무에 적용하는 과정에서 이를 사용하는 업체, 시험원, 프로젝트 등에 따라 의미가 변경되어 사용되기도 한다. 일반적으로 시험 케이스는 측정 가능한 상태에 대한 정보, 상황(condition), 이벤트(event), 입출력 값을 포함하는 데이터로 구성되어 있다."
"시험 통신, 試驗通信, test communication",,"전보 전달의 사고를 미연에 방지하고 회선이나 장치의 양부를 확인하기 위하여 하는 통신. 가입자국에서는 교환국 반환의 시험 전보로 실시하고, 중계 회선에서는 상대 교환국을 경유해서 자교환국으로 되돌아가는 시험 전보로 한다. 교환국에서 시험 통신을 하는 좌석을 시험 통신선이라고 한다."
"시험 프로그램, 試驗-, Test Program, TP",,"전자 교환기의 제조 검사, 공사 시험 및 오프라인 시험 시에 사용되는 장치의 기능을 시험하기 위한 시험 프로그램."
"시험 프로그램 단위, 試驗-單位, test program unit",,"장치 시험 프로그램에서 관리상의 최소 단위. 하나의 시험 단위는 수 개의 항목으로 구성되며, 순차적인 처리가 행해져 그 결과의 판정을 내린다."
"시험 프로그램 모니터, 試驗-, test program monitor",,"장치 시험 프로그램을 실행할 때, 장치마다 시험 프로그램의 실행 제어를 하는, 공통적으로 사용되는 프로그램. 명령의 처리와 실행 제어를 한다. 일반적으로 모니터라 함은 공통 실행 제어 부분의 프로그램군을 뜻한다."
"시험 프로그램 순서 계획, 試驗-順序計劃, test program scheduler",,"장치 시험 프로그램 중에서 각 시험 프로그램의 실행, 관리를 하는 프로그램. 구체적으로 장치 시험 명령이 입력되었을 때에 제어를 모니터에서 받아 시험 장치로 정보를 보내거나 시험 장치의 기동, 시험 종류와 실행하는 횟수의 제어 및 시험의 개시, 종료의 인자 또는 모니터로의 제어를 주고받는다."
"시험 호출, 試驗呼出, test call",,"메시지 송신에 이상 상태가 발생했을 때, 특정 메시지를 일정한 시간마다 일정한 횟수의 재송출을 시도하는 기능."
"시험 호출 발생기, 試驗呼出發生器, test call generator",,"교환기의 기능 시험, 또는 성능 평가를 하기 위하여 각종 호를 교환기의 부하로 가해 주는 장치."
"시험 화상, 試驗畵像, test chart",,"화상 및 팩스 장치의 모든 특성, 전송로의 영향 등을 조사하는 데 사용되는 화상. 보통 각종 도형, 사진, 문자, 선화(線畵) 등으로 구성된다. 팩스용으로는 ITU-T, IEEE, 화상 전자 학회의 시험 화상이 있다. ITU-T의 심의 과정에서 사용된 8종류 시험 문서는 흑백 2치(値) 팩스의 부호화 효율 측정용으로 널리 이용되고 있다."
"시험 환경, 試驗環境, test environment",,"시험 대상 시스템(system under test)을 중심으로 시험 프로세스를 지원하기 위해 형성된 장치(facilities). 시험 환경은 시험 대상 시스템 또는 컴포넌트, 시험을 수행하고 결과를 기록하는 방법을 기술한 시험 문서, 테스트 하네스와 테스트 스텁, 테스트 오라클, 시험 데이터 등으로 구성되어 있다."
