"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"사용자, 使用者, user",,"①컴퓨터 시스템 또는 정보 통신 시스템이 제공하는 서비스를 이용하는 사람, 또는 프로그램이나 프로세스를 가리키는 용어. ②최종 사용자와 같은 의미. 마이크로컴퓨터에서 컴퓨터나 컴퓨터 응용 프로그램을 사용하는 사람이라는 의미에서 최종 사용자라는 용어를 사용하는데, 이것은 컴퓨터 프로그램의 개발자나 프로그램 작성자가 아니라 최종적으로 사용하는 사람이라는 의미이다."
"사용자 간 신호 채널 정보 전송, 使用者間信號-情報傳送, User-To-User Signalling, UUS",,"ISDN 부가 서비스의 하나. ISDN 사용자가 다른 ISDN 사용자와 통신 중에, 그 호에 관련된 신호 채널을 통해서 간단한 정보(예:주민 등록 번호)를 주고받을 수 있게 하는 서비스이다."
"사용자 간 정보 전송, 使用者間情報傳送, User-To-User Information Transfer, UUI",,"종합 정보 통신망(ISDN)의 회선 교환 서비스에서, 단말 제어 신호 등의 정보를 신호 채널을 사용하여 단말과 단말 간에서 투과적(transparent)으로 전송하는 서비스. 한 번에 전송할 수 있는 정보에 대한 제한이 있는 것, 통화 중이 아닐 때, 호 설정/해제 시에도 이용할 수 있다."
"사용자 개별 표시 비제어 분배 서비스, 使用者個別標示非制御分配-, distribution service without user individual presentation control",,"광대역 종합 정보 통신망(B-ISDN) 등을 통하여 제공되는 분배 서비스의 일종으로, 사용자가 분배되는 정보 표시의 시작과 순서에 대한 제어 능력을 갖지 않고 접속할 수 있는 분배 서비스. 종합 유선 방송(CATV)의 방송 서비스 등이 이에 해당한다. 정보는 방송국에서 다수의 가입자에게 연속적으로 제공되므로 사용자가 접속하는 시간에 따라 처음부터 어떤 프로그램을 시청할 수는 없다."
"사용자 개별 표시 제어 분배 서비스, 使用者個別標示制御分配-, distribution service with user individual presentation control",,"광대역 종합 정보 통신망(B-ISDN) 등을 통하여 제공되는 분배 서비스의 일종으로, 정보 실체(예:프레임)의 연속으로 제공되는 정보를 주기적으로 반복 제공함으로써 사용자가 개별 정보 실체를 선택할 수 있고 정보의 시작과 순서를 제어할 수 있는 분배 서비스. 주기적 반복으로 사용자가 선택한 정보 실체를 언제나 처음부터 제공한다."
"사용자 경험, 使用者經驗, User Experience, UX",,"사용자가 어떤 시스템, 제품 혹은 서비스를 직간접적으로 이용하면서 느끼고 생각하게 되는 총체적 경험. 단순히 기능이나 절차상의 만족뿐 아니라 전반적으로 지각 가능한 모든 면에서 사용자가 참여, 사용, 관찰하고 상호 교감을 통해서 알 수 있는 가치 있는 경험이다. 긍정적 사용자 경험의 창출은 산업 디자인, 소프트웨어 공학, 마케팅 및 경영학의 주요 과제이며 이는 사용자의 니즈(needs)의 만족, 브랜드의 충성도 향상, 시장에서의 성공을 가져다 줄 수 있는 주요 사항이다."
"사용자 계정, 使用者計定, user account",,"이용 요금은 부과되지 않지만 기밀 보호를 필요로 하는 특정 컴퓨터 시스템이나 다수 사용자 컴퓨터 시스템(multi-user computer system)에서, 요금 부과 목적이 아니라 허가받은 개인의 식별/관리 및 보안 목적의 수단으로서 시스템 관리자에 의해 생성되는 이용 권리 계좌. 사용자 계정에는 사용자에 관한 정보, 즉 사용자 프로필이 포함된다. 사용자 프로필에는 사용자의 식별 번호, 성명, 비밀 번호 등 사용자가 시스템에 접속 개시(log-on)하는 데 필요한 정보 및 그 사용자가 갖는 자원 접근 허가 사항과 접근 제한 사항 등의 정보가 포함된다. 윈도즈 NT에서는 개인 사용자가 소속하고 있는 사용자 그룹에 관한 정보도 사용자 계정에 포함된다."
"사용자 공간 통신, 使用者空間通信, Personal Space Communication, PSC",,"사용자를 중심으로 이루어지는 근거리 무선 통신. 사용자 주변의 모든 서비스를 작은 방송국으로 이해하고, 제공되는 서비스를 방송 채널을 선택하듯 사용자가 선택하여 서비스를 이용하는 개념이다."
"사용자 단말기, 使用者端末機, user terminal",,사용자가 데이터 처리 시스템과 교신하기 위한 입출력 장치.
"사용자 단순복제, 使用者單純複製, soft lifting",,"소프트웨어 불법 복제의 한 유형으로, 조직 또는 회사에서 일하는 사람이 사무실이나 집에서 사용하기 위해 개인적으로 불법 복제하는 것. 라이선스된 소프트웨어 한 카피를 구한 다음, 라이선스 약정서의 조건을 위반하여 여러 대의 기계에 로딩하는 행위를 말한다. 소프트웨어를 친구나 동료와 함께 돌려가며 사용하거나 약정서에 허용되지 않은 컴퓨터나 랩톱에 설치하는 행위가 포함된다."
