"다용도 번역 중심 언어, 多用途飜譯中心言語, Universal Compiler Oriented Language, UNCOL",,"다양한 프로그램 작성 언어로부터 다양한 기계어를 목적 프로그램으로 번역하기 위한 다용도 중심 언어의 일종. 언어의 수가 N개이고, 목적 기계의 수가 M개일 때 원시 프로그램 번역을 위해서 필요한 번역 수는 N×M이 필요하지만 다용도 번역 중심 언어(UNCOL)를 사용하면 N＋M개로 줄어든다."
"다용도 비디오 부호화, 多用途-符號化, Versatile Video Coding, VVC","동의어 : 범용 비디오 부호화, 미래 비디오 부호화, Future Video Coding","대용량 초실감 서비스 제공을 위한 차세대 비디오 부호화(압축) 표준 기술. 기존 고효율 비디오 부호화 표준인 HEVC(High Efficiency Video Coding)와 비교하여 압축 성능이 최대 2배로 향상되었다. 8K(7680x4320)포함 UHD 영상, 360도 가상현실(VR) 영상 등을 모두 대상으로 하여 제이벳(JVET: Joint Video Expert Team)에서 다용도(versatile) 비디오 부호화 표준이라고 명명하였다.VVC는 기본적으로 기존 HEVC 표준의 기본 골격을 유지하면서 HEVC 보다 블록 크기 확장(최대 128x128), 다양한 크기의 블록 분할, 인트라 예측 모드 확대(65개), 정교한 움직임 벡터 예측, 정교한 변환(transform) 측면에서 향상된 기능을 제공한다. 또한 압축률 개선을 위해 중첩된 블록 움직임 보상(OBMC: Overlapped Block Motion Compensation), 적응적인 루프 필터(ALF: Adaptive Loop Filter), 6개의 자유도를 갖는 전역/지역 움직임 벡터(affine motion) 기능을 추가하였다.기존의 모든 비디오 부호화 표준에 대해서는 하방 호환(backward compatibility)을 지원하지 않는다. 80 Mbps 이상의 8K UHD 콘텐츠는 위성으로만 제공하나 해당 콘텐츠에 VVC를 적용하면 전송량을 반으로 줄일 수 있어 지상파와 케이블에서도 전송이 가능해진다. 또한 8K 해상도의 360도 가상현실 영상 압축, 저장 및 전송이 가능하여 보다 실감나는 서비스를 제공할 수 있다."
"다용도 입출력 포트, 多用途入出力-, General Purpose Input/Output, GPIO",,프로세서나 컨트롤러(controller) 등에서 일반 목적으로 사용하도록 준비된 입출력 포트. 다용도 입출력 포트(GPIO)를 소프트웨어와 연동시키면 전기적 입력을 받거나 출력으로 특정 장치를 제어하게 할 수 있다.
"다용도 접속, 多用途接續, general interface",,"어떠한 입출력 기기에도 적합하게 만든 접속. 입출력 접속, 직병렬 접속 등이 있다."
"다우 존스 뉴스 검색, -檢索, Dow Jones News/Retrieval, DJN/R",,"세계적인 일간 경제 신문 ‘더 윌 스트리트 저널’을 발행하고 경제 관련 뉴스 통신 ‘다우 존스 뉴스와이어’를 배포하고 있는 다우 존스사(Dow Jones Co., Inc.)가 제공하는 종합 온라인 데이터베이스 시스템과 그 서비스의 명칭. 45종의 데이터베이스로 이루어져 있으며 경제 정보의 데이터베이스로는 세계 최대 규모이다. 주요한 정보 항목으로는 미국의 주요 산업 부문 65종의 평균 주가 지수인 다우 존스 평균 주가 지수(DJA), 세계 경제/투자/금융 정보인 다우 존스 국제 뉴스(DJINS), 90일 동안의 ‘더 윌 스트리트 저널’ 및 ‘다우 존스 뉴스와이어’ 기사 초록을 수록한 다우 존스 뉴스(DJNEWS), 홈 쇼핑 정보 등이 있다."
"다운로더, Downloader",,악성 코드 유포 방식. 특정 웹 사이트에서 파일을 내려받고 그 파일이 다시 스파이웨어를 내려받게 한다. 이 스파이웨어는 사용자의 동의를 받지 않고 설치되며 기존 키 워드 검색 프로그램이나 특정 안티스파이웨어 프로그램을 삭제한다.
"다운로드 가능 사운드, -可能-, Downloadable Sound, DLS",,"사운드 카드나 소프트웨어 음성 합성기에 음색 데이터(wave table)를 내려받기 위한 규격. 미국에서는 미디 규격 관리 단체인 MMA(MIDI manufacture""s association)에서 표준화되었다. 마이크로소프트 윈도우(Microsoft Windows)에서는 새로운 장치 구동기 구조인 WDM(windows driver model)에 대응한 사운드 카드 구동기에 대부분 지원되어 있다. 윈도우 98에는 WDM 전용의 소프트웨어 음성 합성기가 부속되어 유에스비(USB) 스피커용 드라이버 등에 이용된다. "
"다운로드 가능 자형, -可能字形, downloadable font",동의어 : 내려받을 수 있는 글자,"디스크상에 기억되어 있는 특정한 형태와 크기의 문자 집합으로서, 문서의 인쇄를 위하여 필요할 때 프린터의 기억 장치로 전송(다운로드)되는 것. 다운로드 가능 자형에는 많은 종류의 자형과 크기가 있으며, 점 행렬 인쇄기에서도 일부분을 사용할 수 있지만 레이저 인쇄기 및 그 밖의 페이지 인쇄기에서 널리 사용되고 있다."
"다운로드형 수신제한 시스템, -受信制限-, Downloadable Conditional Access System, DCAS",,"소프트웨어적으로 수신제한 기능을 셋톱박스로 다운로드할 수 있게 하는 시스템. 다운로드형 수신제한 시스템(DCAS)은 헤드엔드에서 망을 이용하여 수신제한 기능의 소프트웨어를 셋톱박스로 다운로드하여 수신제한 기능을 쉽게 변경하거나 업그레이드할 수 있게 하는 시스템이다. 기존의 소프트웨어 내장(임베디드) 방식이나 케이블카드 방식에서는 방송 사업자들이 수신제한 시스템(CAS)을 교체하거나, 가입자가 다른 방송 사업자의 서비스 권역으로 이사할 경우에는, 기존의 셋톱박스를 교체하거나 셋톱박스에 삽입된 케이블카드를 교체해야 서비스가 가능하였으나, 다운로드형 수신제한 시스템은 셋톱박스나 케이블카드의 교체 없이도 새로운 방식의 제한수신 서비스를 제공할 수 있게 하는 시스템이다."
"다운로드 후 재생, -後再生, download and play",동의어 : 내려받기후 재생,"비디오 등 전체 콘텐츠 파일을 개인용 컴퓨터(PC)에 내려받기 완료한 후 재생하는 방법. 콘텐츠 재생의 품질이 완벽하고, 내용의 앞뒤를 이동할 수 있으며, 나중에 몇 번이고 즉시 재생해 볼 수 있는 장점 등이 있지만 내려받기에 오랜 시간이 걸리기 때문에 한 번 보는 것으로 끝나는 경우에는 적당치 않다."
