word,synonym,description
"나비 효과, -效果, Butterfly Effect",,"초기치의 미묘한 차이가 크게 증폭되어 엉뚱한 결과를 나타내는 것. 1963년 유체역학의 이론을 바탕으로 수학적으로 모델화를 통해 일기예보의 이론적인 예측을 시도하던 미국의 기상학자 Edward Lorenz가 ""갈매기의 날개짓 한번이 날씨를 영원히 변화시키기에 충분하다""고 한 데에서 유래된 말로 후에 형상에 따른 표현이 나비로 바뀌었다. 로렌츠의 모델은 우연적인 변화 요인이 거의 없는데도 불구하고 시간이 경과하면서 때때로 무작위의 상태가 되어감을 구체적으로 보인 것으로 이는 아주 사소한 것도 후에 큰 사건으로 비화될 수 있다는 것과 장기예측은 그만큼 어렵다는 두가지 의미를 내포하는 것으로 안정성(statability) 문제를 다루는 기법의 하나다."
"나사꼴 동조기, -同調器, screw tuner",,공동(空胴) 내의 전계에 평행하게 나사를 삽입하여 나사의 길이를 변화시켜 미세 조정을 하는 동조기. 공동 내에 용량 부하를 병렬로 넣은 것과 같은 효과를 나타낸다.
"나사꼴 주사, -走査, helical scanning",,"테이프면을 비스듬히 회전 헤드로 주사하면서 기록하는 것. 회전 헤드 실린더에 테이프를 나선형(helical)으로 감는다. 비디오 테이프 녹화기(VTR)의 비디오 트랙의 기록에 쓰인다. 이 경우 헤드의 원 둘레가 되는 테이프의 상단에서 하단까지 비스듬히를 1개의 비디오 트랙으로 하여, 약 1필드분의 영상 신호를 기록하는 것이 보통이다. 회전 헤드 실린더의 지름을 작게 할 목적으로 1필드분의 영상 신호를 몇 개의 트랙으로 분할하여 기록하는 방법도 실용화되어 있다."
"나선형 광선, 螺旋形光線, helical ray",,"광섬유 코어의 구조가 집속형 굴절률인 경우, 입사되어 중심축과 경계면으로부터 일정한 거리를 두고 나선형으로 비틀려 회전하면서 진행하는 광선."
"나선형 도파관, 螺線形導波管, helical wave-guide",,"가는 절연 동선을 나선형으로 촘촘하게 감은 다음, 그 바깥쪽을 손실 있는 유전체로 고정시키고, 필요에 따라 그것을 금속관으로 덮은 밀리파용의 원형 도파관. TE01모드는 축 방향의 벽면 전류가 없기 때문에 낮은 손실로 전달되나, 그 이외의 모드는 축 방향의 전류 성분이 있으므로 감쇠가 커져 모든 필터로 쓰인다."
"나선형 주사, 螺旋形走査, spiral scanning",,레이더 등에서 주사를 나선형으로 하는 것. 안테나의 최대 복사 방향이 나선형으로 나타난다.
"나시-슈나이더만 차트, Nassi-Schneiderman chart",,"계층적 입출력 기법(HIPO)과 같이 그림 형태의 표현을 중요시하는 기법 중의 하나. HIPO가 기능 표현을 주안점으로 하는 데 비해, 논리의 표현을 주안점으로 한다. 특히 조건이 복합되어 있는 곳의 처리를 명확히 식별하는 데 적합하며, 이것을 이용하면 구조화 코딩을 매우 편리하게 할 수 있다. 예를 들어, 조건-1이 참이면 C를 수행하고, 거짓이면 B를 수행하며, 조건-2가 참일 때까지 D를 반복 수행한 후 정지하는 것을 나시-슈나이더만 차트로 나타내면 그림과 같다."
"나이키스트 간격, -間隔, Nyquist interval",,"표본화 정리에서의 표본점 간격. 시간축상에서는 1/2W, 주파수 축상에서는 1/T이다. W는 주파수 대역폭, T는 시간 길이다."
"나이키스트 선도, -線圖, Nyquist diagram",,"제어 시스템의 안정도를 결정하는 선도. 시스템 전달 함수의 폐극성 도시(圖示)이다. 예를 들면, 궤환 증폭기의 나이키스트 선도란 주파수를 0에서 무한대까지 변화시켰을 때의 α/β 인자의 실수부와 허수부를 직교 좌표상에서 그린 것이다. α는 궤환이 없을 때의 증폭률이며 β는 증폭기의 입력에 중첩된 출력 전압의 분수이다. 궤환 증폭기의 일정성은 나이키스트 궤적이 α/β를 X＋jY로 하여 X＝-1, Y＝0의 점을 포함하지 않도록 해서 평가하고 있다."
"나이키스트 속도, -速度, Nyquist rate",,"나이키스트 간격의 역수로서, 부호 간에 간섭이 없는 부호 전달 속도."
