word,synonym,description
"카칭족, -族, Kaching Tribe",,"소셜 미디어로 돈을 버는 사람. 페이스북이나 트위터, 미투데이 같은 소셜 미디어로 마치 현금 지급기에서 돈을 꺼내듯이 일확천금을 버는 사람을 뜻하는 말이다. 페이스북으로 자동차를 팔거나, 트위터로 보험을 파는 것들이다."
"카카오톡, KakaoTalk",,"카카오사가 만든 스마트폰용 채팅 프로그램. 무료로 아이폰이나 안드로이드폰 사용자들끼리 그룹이나 1:1로 채팅할 수 있는 메신저 서비스로 전화번호만 등록하면 문자뿐만 아니라 사진, 동영상, 연락처, URL 링크 같은 멀티미디어도 첨부할 수 있다."
"카트로닉스, Cartronics",,"차(Car)와 전자(Electronics)를 결합한 새 말로 자동차에 IT를 접목한 기술. 내비게이션, 차량용 주행 기록 기기, 전후방 카메라, 각종 센서, 레이더, 연비 측정 장치, 위치와 길 안내 LED 표시 장치 따위가 있다."
"카트리지 디스크, cartridge disk",,기록 매체로 사용되는 디스크 원판을 자유롭게 장착하거나 탈착할 수 있도록 카트리지에 설치하여 사용하는 디스크. 플로피 디스크와 같이 디스크 장치에 부착하거나 떼어내서 사용할 수 있다. 하드 디스크의 대용량/고속성과 플로피 디스크가 가진 편리성을 모두 만족하는 제품이다.
"카트마이, Katmai",,"인텔사(Intel)의 펜티엄 3 프로세서 프로젝트 코드명 중 하나. 펜티엄 3의 초기 프로세서 코드명으로 0.25마이크론 공정으로 제조되었다. 클럭 속도 450~600MHz 정도가 카트마이 제품이며, 후에 500MHz~1.0GHz의 코퍼마인 제품이 제조되었다. 500MHz~600MHz의 제품이 카트마이 또는 코퍼마인 제품인데 이를 구분하기 위해 코퍼마인 제품에 ‘E’를 붙인다. 카트마이는 0.25마이크론 프로세서인 펜티엄 2 데슈트 제품 및 슬롯 1 인터페이스(slot 1 interface)의 코퍼마인 제품과도 호환이 된다. 카트마이는 셀러론(celeron) 제품의 코어로는 쓰이지 않는다."
"카펫 밑 평판 케이블, -平板-, under carpet flat cable",,카펫 밑에 평판 케이블을 부설하는 방법. 배선 대책 중의 하나다.
"카피레프트, copyleft",,"저작권을 뜻하는 영어 카피라이트(copyright)의 반대 개념. 어떤 저작물을 개발한 사람이 저작권을 독점하고 이익을 추구하는 것에 반대하여, 원하는 사람이면 누구나 자유롭게 이용하고 창조적으로 활용할 수 있도록 저작물에 대한 권리를 공유하는 것을 말한다. 대표적인 예로 원시 부호(source code)가 공개되어 내려받기한 다음 이용하는 사람이 원하는 대로 프로그램을 변형하거나 활용할 수 있는 리눅스(Linux)를 들 수 있다."
"칸델라, candela",,"광도(luminous intensity)의 국제 단위계(SI) 단위. 진동수 540×1012 헤르츠(㎐)인 단색광을 방출하는 광원의 방사도가 어떤 주어진 방향으로 매 입체각(steradian, sr) 당 1/683 와트(W)일 때 이 방향에 대한 광도로, 기호는 소문자 cd를 사용한다. "
"칸델라브라, candelabra",,"텔레비전 방송국에서, 하나의 철탑을 공용하여 여러 개의 텔레비전 안테나를 수평으로 줄지어서 설치하는 방식. 안테나를 설치한 모양이 서양의 촛대와 닮아서 이 이름이 붙었다."
"칸트, KAIST automatic natural translation, KANT",,한국 과학 기술원에서 개발한 일한(日韓) 자동 번역 시스템.
